barcode,desc,acost,adate,cat_type,locname,dept
FAD-0011-0008354500001   ,FUJIDENZO CFRZR FC 22GDF2 22CF                              ,31160.71000,12/12/2024,FREEZER/CHILLER                                   ,ASC TUBIGON                   ,ASCTU-BREAD COTTAGE                               
FAD-0011-0008855000001   ,GLEE UPRIGHT GLASS DOOR FREEZER- 1 DOOR                     ,71428.57000,09/19/2025,FREEZER                                           ,ASC TUBIGON                   ,ASCTU-FRESHMARKET                                 
FAD-0011-0008855000002   ,GLEE UPRIGHT GLASS DOOR FREEZER- 1 DOOR                     ,71428.57000,09/19/2025,FREEZER                                           ,ASC TUBIGON                   ,ASCTU-FRESHMARKET                                 
FAD-0006-0002273400002   ,METTLER TOLEDO LABEL PRINTING SCALE                         ,62500      ,01/02/2025,WEIGHING SCALE                                    ,ASC TUBIGON                   ,ASCTU-FRESHMARKET                                 
FAD-0011-0008855000005   ,GLEE UPRIGHT GLASS DOOR FREEZER- 1 DOOR                     ,66964.29000,03/16/2026,DOOR                                              ,ASC TUBIGON                   ,ASCTU-FRESHMARKET                                 
FAD-0011-0008855000006   ,GLEE UPRIGHT GLASS DOOR FREEZER- 1 DOOR                     ,66964.29000,03/16/2026,DOOR                                              ,ASC TUBIGON                   ,ASCTU-FRESHMARKET                                 
