id,barcode,desc,remarks,asset_type,cat_type,locname,dept,image,image_url,datetime_saved
18,MFI-DBL-00110531,"AOC MON 18.5"" SN: ANIH31A001484","OLD BARCODE
ADMIN OFFICE","OFF. EQPT.",MONITOR,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620908734.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620908734.jpg,"2026-08-25 09:20:05 AM"
19,,"TRENDSONIC CPU","ERASURE OF BARCODE
ADMIN OFFICE","OFF. EQPT.",CPU,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787620982220.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787620982220.jpg,"2026-08-25 09:21:55 AM"
20,0118-0007636000002,"MOTOPLUS HANDHELD RADIO","BARCODE NOT FOUND
ADMIN OFFICE","OFF. EQPT.","RADIO HANDSET","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621220258.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621220258.jpg,"2026-08-25 09:25:25 AM"
21,"0119-0007344200003; 0119-0007344200005; 0119-0007344200006","MOTOPLUS HANDHELD RADIO","DAMAGE 3 UNIT
ADMIN OFFICE","OFF. EQPT.","RADIO HANDSET","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621436353.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621436353.jpg,"2026-08-25 09:27:42 AM"
22,,TABLE,"4 DRAWERS COLOR WHITE
NO BARCODE
ADMIN OFFICE","FUR. & FIXT.",TABLE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621538931.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621538931.jpg,"2026-08-25 09:30:51 AM"
23,,"Blinders RECTANGULAR TYPE","2 UNIT
NO BARCODE
ADMIN OFFICE","FUR. & FIXT.",OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621628791.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621628791.jpg,"2026-08-25 09:32:43 AM"
24,,"PANELBOARD CIRCUITRY","NO BARCODE
ADMIN OFFICE","ELEC. INTS. & EQPT.","PANEL BOARD","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787621800659.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787621800659.jpg,"2026-08-25 09:35:34 AM"
25,,"FUJI WEIGHT TESTER","20kg and 5kg
NO BARCODE
ADMIN OFFICE","STR. EQPT.","TEST WEIGHT","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622016417.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622016417.jpg,"2026-08-25 09:38:23 AM"
26,,"GIGA WORKS BIOMETRICS","NO BARCODE
ADMIN OFFICE","ELEC. INTS. & EQPT.",BIOMETRICS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622220520.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622220520.jpg,"2026-08-25 09:42:43 AM"
27,,"ISUZU FREEZER VAN PLATE:CCO-7970","NO BARCODE
ADMIN OFFICE
EGG VAN","TRNS. EQPT.",OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622537769.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622537769.jpg,"2026-08-25 09:46:16 AM"
28,,"MEDICINE ROOM","With 3 medicine shelves - 3layer",BLDG.,BUILDING,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787622746394.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787622746394.jpg,"2026-08-25 09:50:29 AM"
29,0119-0013743400001,"CARRIER A/C 51CTD018308 2HP IN","BARCODE NOT FOUND
EGG ROOM","ELEC. INTS. & EQPT.",AIRCON,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623171968.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623171968.jpg,"2026-08-25 09:58:10 AM"
30,,"DELTAPLUB GAS MASK","NO BARCODE
EGG ROOM",TOOLS,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623272899.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623272899.jpg,"2026-08-25 09:59:51 AM"
31,MFI-DBL-00114353,"NUTEX SCALE NTD-1 S#:039731","OLD BARCODE
EGG ROOM","OTHER EQPT.","WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623368784.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623368784.jpg,"2026-08-25 10:01:26 AM"
32,,"HANABISHI INDUCTION Cooker HES-80F","NO BARCODE
EGG ROOM","OTHER EQPT.","INDUCTION COOKER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623458790.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623458790.jpg,"2026-08-25 10:03:30 AM"
33,,"KITCHEN SCALE","MAX:3000G
NO BARCODE
ADMIN OFFICE","OTHER EQPT.","WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623662900.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623662900.jpg,"2026-08-25 10:06:40 AM"
34,,"OUTDOOR LPDA ANTENNA MODEL:ODS-10NK-80/270","NO BARCODE
ADMIN OFFICE","ELEC. INTS. & EQPT.",RECEIVER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787623836868.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787623836868.jpg,"2026-08-25 10:09:07 AM"
35,0118-0007912700001,"CURCUIT BREAKER 400AMP 3 PHASE 230V SCHNEIDER","BARCODE NOT FOUND
EE ROOM","ELEC. INTS. & EQPT.","PANEL BOARD","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624271551.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624271551.jpg,"2026-08-25 10:15:50 AM"
36,,"GENIUS SOLAR METER S#:204009841","NO BARCODE
EE ROOM","ELEC. INTS. & EQPT.",METER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624354690.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624354690.jpg,"2026-08-25 10:17:58 AM"
