barcode,desc,acost,adate,cat_type,locname,dept
0033-0009808900002  ,LADDER 8FT FIBERGLASS (LOUISEVILLE)                         ,9821.43000,07/05/2024,LADDER                                            ,COLONNADE MOHON               ,TALISAY MOHON-ENGINEERING DEPARTMENT              
0033-0004024300001  ,LED FLOODLIGHT 200W/WW 220-240V                             ,4285.71000,08/02/2024,LIGHTING FIXTURES                                 ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0004024300002  ,LED FLOODLIGHT 200W/WW 220-240V                             ,4285.71000,08/02/2024,LIGHTING FIXTURES                                 ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0004024300003  ,LED FLOODLIGHT 200W/WW 220-240V                             ,4285.71000,08/02/2024,LIGHTING FIXTURES                                 ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0004024300004  ,LED FLOODLIGHT 200W/WW 220-240V                             ,4285.71000,08/02/2024,LIGHTING FIXTURES                                 ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0004024300005  ,LED FLOODLIGHT 200W/WW 220-240V                             ,4285.71000,08/02/2024,LIGHTING FIXTURES                                 ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0004024300006  ,LED FLOODLIGHT 200W/WW 220-240V                             ,4285.71000,08/02/2024,LIGHTING FIXTURES                                 ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0009925100001  ,SAMSUNG GLX TAB A9 WIFI GRY                                 ,7133.93000,07/29/2024,TABLET                                            ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0009164900001  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900002  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900003  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900004  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900005  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900006  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900007  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900008  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900009  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0009164900010  ,TROPICAL FIRE EXTINGUISHER PORTABLE HFC 236 10LBS           ,7566.96000,05/09/2024,FIRE EXTINGUISHER                                 ,COLONNADE MOHON               ,TALISAY MOHON-SAFEFY AND SECURITY DEPARTMENT      
0033-0002273400001  ,METTLER TOLEDO LABEL PRINTING SCALE                         ,64285.7200,07/26/2024,WEIGHING SCALE                                    ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0002273400002  ,METTLER TOLEDO LABEL PRINTING SCALE                         ,64285.7200,07/26/2024,WEIGHING SCALE                                    ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0010325200001  ,PRICE COMPUTING SCALE 15KG X 2G                             ,14142.8600,08/19/2024,WEIGHING SCALE                                    ,COLONNADE MOHON               ,TALISAY MOHON-STOCKROOM DEPARTMENT                
0033-0009978000001  ,FUSO CANTER FE84 EURO IV CAB & CHASSIS TRUCK                ,1464285.71,07/16/2024,VEHICLE                                           ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0004753300001  ,MITSUBISHI FUSO CANTER FE84 EURO IV CAB & CHASSIS           ,1464285.71,07/16/2024,VEHICLE                                           ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0033-0010319100001  ,CARRIER A/C WCARHO19EC 2HP                                  ,26785.7100,08/31/2024,AIRCON                                            ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0009980400001  ,MITSUBIHI FE 84 16FT ALUMINUM VAN                           ,160714.290,08/17/2024,VEHICLE                                           ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0000004300001  ,GASUL TANK                                                  ,2000      ,09/05/2024,                                                  ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0000004300002  ,GASUL TANK                                                  ,2000      ,09/05/2024,                                                  ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0000004300003  ,GASUL TANK                                                  ,2000      ,09/05/2024,                                                  ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0000004300004  ,GASUL TANK                                                  ,2000      ,09/05/2024,                                                  ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
