barcode,desc,acost,adate,cat_type,locname,dept
0130-0008403100001  ,EBARA SUBMERSIBLE SEWAGE PUMP MODEL:DWM2006                 ,39000,11/25/2024,PUMP                                              ,MFI-SLURRY ICE PLANT          ,MFI-SLURRY ICE PLANT ENGINEERING                  
0130-0001077700001  ,CLAMP METER                                                 ,3026.,12/20/2024,METER                                             ,MFI-SLURRY ICE PLANT          ,MFI-SLURRY ICE PLANT ADMIN                        
0130-0001138800001  ,ALUMINUM LADDER                                             ,1964.,12/20/2024,LADDER                                            ,MFI-SLURRY ICE PLANT          ,MFI-SLURRY ICE PLANT ADMIN                        
0130-0011908000001  ,CATERPILLAR ELECTRIC GENSET M:C33GC                         ,84000,03/04/2025,GENERATOR                                         ,MFI-SLURRY ICE PLANT          ,MFI-SLURRY ICE PLANT ENGINEERING                  
0130-0001738000001  ,HONDA BRUSH CUTTER 1.6 4 STROKE M:UMK435                    ,15892,07/02/2025,GRASS CUTTER                                      ,MFI-SLURRY ICE PLANT          ,MFI-SLURRY ICE PLANT ADMIN                        
