barcode,desc,acost,adate,cat_type,locname,dept
0079-0007344200046  ,RADIO HANDSET MOTOPLUS DUAL BAND FM TRANSCEIVER             ,2400 ,05/22/2024,RADIO                                             ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0106-0006283600001  ,ISUZU ELF MINI DUMP TRUCK PL#:GAX-9690                      ,13500,08/05/2020,VEHICLE                                           ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0009504800001  ,CARRIER A/C 53CFM ASC STD4HP                                ,75150,03/20/2025,AIRCON                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAINTENANCE WAREHOUSE              
0079-0009504800002  ,CARRIER A/C 53CFM ASC STD4HP                                ,75150,03/20/2025,AIRCON                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAINTENANCE WAREHOUSE              
0079-0008236700001  ,RENCO LEAN-MEATER DIGITAL BACKFAT INDICATOR                 ,37500,03/24/2025,TOOLS                                             ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0002541300003  ,USHOWCASE FUJIDENZO SU140A                                  ,24553,04/01/2025,FREEZER/CHILLER                                   ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0011858800001  ,SINOTRUCK MINI DUMPTRUCK 6W PL#:GBI-5147                    ,13000,04/03/2025,VEHICLE                                           ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0011285500001  ,SOLID-LIQUID SEPARATOR 7.5KW                                ,49334,04/03/2025,MACHINE TOOLS                                     ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0011285500002  ,SOLID-LIQUID SEPARATOR 7.5KW                                ,49334,04/03/2025,MACHINE TOOLS                                     ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0009769400001  ,SOLAR RAMMING PILE DRIVER                                   ,21200,05/13/2024,OTHERS                                            ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
0079-0009770300001  ,DRILL HAMMER 12""                                            ,35594,05/13/2024,MACHINE TOOLS                                     ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAINTENANCE WAREHOUSE              
0079-0009770500001  ,AIR COMPRESSOR 21-19 (21 M3/MIN 19BAR)                      ,18723,05/13/2024,AIR COMPRESSOR                                    ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAINTENANCE WAREHOUSE              
0079-0009820200001  ,DRILL HAMMER 7""                                             ,95958,05/13/2024,DRILL                                             ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAINTENANCE WAREHOUSE              
0079-0009769500001  ,HYDRAULIC ROTARY HEAD                                       ,22873,05/13/2024,MACHINE MOTOR                                     ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAINTENANCE WAREHOUSE              
0079-0008327400002  ,FLUKE 376 TRUE RMS                                          ,41000,05/07/2025,TOOLS                                             ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAINTENANCE WAREHOUSE              
0079-0006574600001  ,MITS. FUSO FJ1823R CS#:H0G496                               ,30178,05/23/2025,VEHICLE                                           ,MFI-PIGGERY                   ,PIGGERY-LOGISTICS                                 
0079-0012088400001  ,50 KVA DRY TYPE TRANSFORMER3Ø60 HZ                          ,16964,05/23/2025,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAINTENANCE WAREHOUSE              
