barcode,desc,acost,adate,cat_type,locname,dept
0116-0005458600004  ,KARCHER CLASSIC HIGH PRESSURE CLEANERS HD 6/15-4 C          ,54428,12/11/2023,MACHINE TOOLS                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0009433500001  ,SOLAR INVERTER SNADI INVERTER TOROIDAL WALL                 ,5500 ,01/31/2024,OTHERS                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0009738400001  ,SALEM BED 36X78 (NIGHT AND DAY W/ PULL-OUT)                 ,16425,03/07/2024,BED                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0004173100001  ,POWER SPRAYER 2HP(WL25 ASBC)                                ,27900,03/09/2024,POWER SPRAYER                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0004173100002  ,POWER SPRAYER 2HP(WL25 ASBC)                                ,27900,03/09/2024,POWER SPRAYER                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0009652500003  ,6L AQUA FOAM( AFFF) TROPICAL FIRE EXTINGUISHER              ,2209.,03/15/2024,FIRE EXTINGUISHER                                 ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0009652500004  ,6L AQUA FOAM( AFFF) TROPICAL FIRE EXTINGUISHER              ,2209.,03/15/2024,FIRE EXTINGUISHER                                 ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0008758600001  ,AIRCON CARRIER 0.75HP                                       ,25648,04/25/2024,AIRCON                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0008758600002  ,AIRCON CARRIER 0.75HP                                       ,25648,04/25/2024,AIRCON                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0009771200001  ,PULSATRON( CHLORINATOR)0.2 AMPS SINGLE PHASE 230V           ,40000,06/04/2024,OTHERS                                            ,MFI-GP FARM                   ,GPF-ADMIN                                         
0117-0009771200002  ,PULSATRON( CHLORINATOR)0.2 AMPS SINGLE PHASE 230V           ,40000,06/04/2024,OTHERS                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0009771200003  ,PULSATRON( CHLORINATOR)0.2 AMPS SINGLE PHASE 230V           ,40000,06/04/2024,OTHERS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-ADMIN                                         
0117-0010150200001  ,FUJIDENZO CFZR/CHI FC88GDF 8.8                              ,13348,06/19/2024,FREEZER/CHILLER                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010150000001  ,LG UHD 65UR8150PSB                                          ,32042,06/19/2024,TV                                                ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0009783700001  ,APC BVX650I-PH 650VA UPS                                    ,2276.,06/28/2024,UPS                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0009783700002  ,APC BVX650I-PH 650VA UPS                                    ,2276.,06/28/2024,UPS                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010189600001  ,COMBO PH/CONDUCTIVITY/TDS TESTER (HIGH RANGE)               ,13660,07/03/2024,MEASURING EQUIPMENT                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010106100001  ,MCCB SCHNEIDER EASYPACT 500AT @630 EZC630N                  ,19460,07/03/2024,CIRCUIT BREAKER                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010106200001  ,MCCB SCHNEIDER EASTPACT 350AT @400 EZC400N                  ,15366,07/03/2024,CIRCUIT BREAKER                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
