barcode,desc,acost,adate,cat_type,locname,dept,status
FAD-0113-0008622300001   ,LITHIUM ION BATTERY 51.2 VOLTS/304AH                        ,405357,01/01/2025,BATTERY                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0008622300002   ,LITHIUM ION BATTERY 51.2 VOLTS/304AH                        ,405357,01/01/2025,BATTERY                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0008622400001   ,LITHIUM ION BATTERY 48 VOLTS/420AH                          ,562500,01/01/2025,BATTERY                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0008622400002   ,LITHIUM ION BATTERY 48 VOLTS/420AH                          ,562500,01/01/2025,BATTERY                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0008626600001   ,LITHIUM ION BATTERY CHARGER 25.6 VOLTS/202AH                ,111607,01/01/2025,BATTERY                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0008843100001   ,LOTUS BLOWER 600W                                           ,1782.1,10/07/2025,BLOWER                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0012141000001   ,CARRIER A/C WCARJ019EE 2HP                                  ,25892.,11/18/2025,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0012141000002   ,CARRIER A/C WCARJ019EE 2HP                                  ,25892.,11/18/2025,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0012233900001   ,BRAND NEW POWER MF20-60 REACH TRUCK UNIT                    ,151785,12/09/2025,VEHICLE                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0012233900002   ,BRAND NEW POWER MF20-60 REACH TRUCK UNIT                    ,151785,12/09/2025,VEHICLE                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0012233900003   ,BRAND NEW POWER MF20-60 REACH TRUCK UNIT                    ,151785,12/09/2025,VEHICLE                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0012233900004   ,BRAND NEW POWER MF20-60 REACH TRUCK UNIT                    ,151785,12/09/2025,VEHICLE                                           ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0012773300001   ,TENNANT T12 BATTERY RIDE-ON CYLINDRICAL                     ,142857,01/05/2026,OTHERS                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0012773600001   ,TENNANT S20 DIESEL RIDE-ON SCRUBBER                         ,296428,01/05/2026,OTHERS                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0013349100001   ,SONY UHD BRAVIA 2M2 K-43S20M2                               ,25445.,05/07/2026,TV                                                ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0013349200001   ,SAMSUNG UHD UA65U8030FGXXP                                  ,32135.,05/07/2026,TV                                                ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
