barcode,desc,acost,adate,cat_type,locname,dept,status
0001132500001CORP        ,30 DOORS STEEL LOCKER CABINET                               ,     17000.00,09/02/2011,LOCKER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001132600001CORP        ,HDPE TANK                                                   ,      3800.00,07/20/2007,TANK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001132600002CORP        ,HDPE TANK                                                   ,      3800.00,07/20/2007,TANK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001132700001CORP        ,MIRROR 60CM X 50CM                                          ,      2665.00,07/21/2007,MIRROR                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001132700002CORP        ,MIRROR 60CM X 50CM                                          ,      2665.00,07/21/2007,MIRROR                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001132800001CORP        ,APRON HANGER                                                ,      1800.00,07/21/2007,HANGER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001132900001CORP        ,SWEATER/LAB GOWN HANGER                                     ,      1800.00,07/21/2007,HANGER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0000755100001CORP        ,PRICE COMPUTING S#R1L54077-6MM                              ,     67000.00,12/06/2013,PRICE COMPUTING MACHINE                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001133000001CORP        ,PANASONIC FAX MACHINE                                       ,         0.00,  /  /    ,FAX MACHINE                                       ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001133100001CORP        ,EPSON INKJET PRINTER S# JVPMP003340                         ,      2400.00,08/30/2007,PRINTER                                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001133200001CORP        ,EPSON LQ-300 +II S#G85Y016505                               ,      9240.00,07/22/2007,PRINTER                                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001133300001CORP        ,AOC MONITOR                                                 ,         0.00,09/27/2011,MONITOR                                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
