barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0077-0006689300002  ,AEVR-MULTI FUNCTIONABLE DIGITAL VOLTAGE CONTROLLER          ,      3036.00,05/03/2021,ELEC. INTS. & EQPT. ,CONTROLLER                                        ,         3,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0078-0006613600001  ,D-LINK AC750                                                ,      2053.57,05/13/2021,OFF. EQPT.          ,ROUTER                                            ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0078-0006613700001  ,SAMSUNG GALAXY TAB4 SM-T295                                 ,      7133.93,05/13/2021,OFF. EQPT.          ,TABLET                                            ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0076-0002720300001  ,SAMSUNG GALAXY TAB4                                         ,      7133.93,06/01/2021,OFF. EQPT.          ,TABLET                                            ,         2,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0006709800001  ,SAMSUNG GALAXY TAB A SM-T295                                ,      7133.93,07/06/2021,OFF. EQPT.          ,TABLET                                            ,         3,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0076-0006660600002  ,TV SKYWORTH 24 INCHES                                       ,      6500.00,07/01/2021,STR. EQPT.          ,TV                                                ,         3,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0078-0006850000001  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,      2142.86,07/30/2021,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
0078-0006850000002  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,      2142.86,07/30/2021,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON UGF                                ,FAACQ               
0078-0007048000001  ,PRINTER EPSON L3210 AIO                                     ,      9495.00,11/02/2021,OFF. EQPT.          ,PRINTER                                           ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
0076-0007280600001  ,CARRIER STANDARD 42CFV X-POWER INVERTER DIRECT              ,     38437.50,03/04/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0076-0007280600002  ,CARRIER STANDARD 42CFV X-POWER INVERTER DIRECT              ,     38437.50,03/04/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0076-0007280600003  ,CARRIER STANDARD 42CFV X-POWER INVERTER DIRECT              ,     38437.50,03/04/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0076-0007280600004  ,CARRIER STANDARD 42CFV X-POWER INVERTER DIRECT              ,     38437.50,03/04/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0076-0007280600005  ,CARRIER STANDARD 42CFV X-POWER INVERTER DIRECT              ,     38437.50,03/04/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0077-0007454800001  ,HIK VISION DVR MODEL DS-7216HQHI-K1/E(S)                    ,      7812.50,03/17/2022,OFF. EQPT.          ,OTHERS                                            ,         3,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0077-0007454900001  ,SURVEILLANCE HD 4TB (WD40PURX-78)                           ,      6250.00,03/17/2022,OFF. EQPT.          ,OTHERS                                            ,         3,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0076-0006850000001  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,      2550.00,03/23/2022,OFF. EQPT.          ,UPS                                               ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0006850000002  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,      2550.00,03/23/2022,OFF. EQPT.          ,UPS                                               ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0006850000005  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,      2550.00,03/24/2022,OFF. EQPT.          ,UPS                                               ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0006850000006  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,      2550.00,03/24/2022,OFF. EQPT.          ,UPS                                               ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0077-0006613600002  ,D-LINK AC750                                                ,      2300.00,03/02/2021,OFF. EQPT.          ,ROUTER                                            ,         3,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0077-0006613700002  ,SAMSUNG GALAXY TAB4 SM-T295                                 ,      7990.00,03/02/2021,OFF. EQPT.          ,TABLET                                            ,         3,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0078-0007048000002  ,PRINTER EPSON L3210 AIO                                     ,      9495.00,02/23/2022,OFF. EQPT.          ,PRINTER                                           ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0078-0005137100001  ,CCTV CENTRALIZED POWER SUPPLY 20A                           ,      1950.00,02/24/2021,STR. EQPT.          ,POWER SUPPLY                                      ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
0026-0007057400002  ,COMPRESSOR EMBRACO R-134A                                   ,     11152.00,01/20/2022,MACH. & EQPT.       ,COMPRESSOR                                        ,         5,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0076-0007690600001  ,LENOVO TAB M7 LTE TB-7305X 7                                ,      6495.00,06/27/2022,STR. EQPT.          ,TABLET                                            ,         2,ROSE EN HONEY FOODLINE INC.   ,ASCM-GREENWICH                                    ,FAACQ               
0078-0004317400001  ,INSULATED BOX & THERMO KING REFRIGERATION SYSTEM 2          ,   2016440.36,08/16/2022,MACH. & EQPT.       ,REFRIGERATOR                                      ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
0078-0004317400002  ,INSULATED BOX & THERMO KING REFRIGERATION SYSTEM 2          ,   2016440.36,08/16/2022,MACH. & EQPT.       ,REFRIGERATOR                                      ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
