barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0012-0012290400012  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400013  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400014  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400015  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400016  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400017  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400018  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400019  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400020  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400021  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400022  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400023  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
