barcode,desc,acost,adate,cat_type,locname,dept,status
0047-0003600600010       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600011       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600012       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600013       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600014       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600015       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600016       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600017       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600018       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600019       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0003600600020       ,VERTICAL STEEL FILING CABINET (STD.) 5 D                    ,      9900.00,04/16/2019,CABINET                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
