barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0033-0011617500001   ,ACER K202QBI 19.5""MONITOR                                   ,      3214.29,02/13/2026,OFF. EQPT.          ,MONITOR                                           ,         3,COLONNADE MOHON               ,TALISAY MOHON-WAREHOUSE                           ,FAACQ               
FAD-0033-0000684400001   ,SYMBOL HANDHELD SCANNER                                     ,      3883.93,05/12/2026,STR. EQPT.          ,SCANNER                                           ,         3,COLONNADE MOHON               ,TALISAY MOHON-CASH SECTION                        ,FAACQ               
FAD-0033-0000684400002   ,SYMBOL HANDHELD SCANNER                                     ,      3883.93,05/12/2026,STR. EQPT.          ,SCANNER                                           ,         3,COLONNADE MOHON               ,TALISAY MOHON-CASH SECTION                        ,FAACQ               
FAD-0033-0003304400001   ,PRINTER EPSON LQ310 USB/PARALLEL                            ,     14281.25,03/04/2026,OFF. EQPT.          ,PRINTER                                           ,         3,COLONNADE MOHON               ,TALISAY MOHON-WAREHOUSE                           ,FAACQ               
FAD-0033-0012961700001   ,INTEL CORE I5 12400 2.5GHZ                                  ,     28629.46,03/04/2026,OFF. EQPT.          ,COMPUTER                                          ,         3,COLONNADE MOHON               ,TALISAY MOHON-WAREHOUSE                           ,FAACQ               
FAD-0033-0003458800001   ,MAKITA UB1100 PORTABLE AIR BLOWER                           ,      3839.29,05/12/2026,TOOLS               ,TOOLS                                             ,         3,COLONNADE MOHON               ,TALISAY MOHON-WAREHOUSE                           ,FAACQ               
FAD-0033-0011554500001   ,ASUS PRIME H610M-R (P.S) D4 MOTHERBOARD                     ,     30531.25,05/12/2026,OFF. EQPT.          ,OTHERS                                            ,         5,COLONNADE MOHON               ,TALISAY MOHON-INFORMATION TECHNOLOGY              ,FAACQ               
FAD-0033-0013547300001   ,VICTOR POLISHER MACHINE #16 MODEL                           ,     42410.71,08/11/2026,MACH. & EQPT.       ,CLEANING DEVICE                                   ,         3,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               ,FAACQ               
FAD-0033-0009322400001   ,ACER K202Q BI 19.5'' WIDE LED MONITOR (VGA HDMI)            ,      3391.96,09/02/2026,OFF. EQPT.          ,MONITOR                                           ,         3,COLONNADE MOHON               ,TALISAY MOHON-WAREHOUSE                           ,FAACQ               
