barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0120-0001025500020  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500021  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500022  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500023  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500024  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500025  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500026  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500027  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500028  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500029  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500030  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500031  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500032  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500033  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500034  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500035  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500036  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500037  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500038  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500039  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500040  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500041  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
