barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0003-0011022800008   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,     20535.71,01/09/2025,OFF. EQPT.          ,PRINTER                                           ,         3,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011022900001   ,DATALOGIC QW2400 1D HANDHELD SCANNER                        ,      3571.43,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FA_TRAN             
FAD-0003-0011022900002   ,DATALOGIC QW2400 1D HANDHELD SCANNER                        ,      3571.43,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-GRO. CHECK OUT COUNTER                       ,FA_TRAN             
FAD-0003-0011022900003   ,DATALOGIC QW2400 1D HANDHELD SCANNER                        ,      3571.43,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-GRO. CHECK OUT COUNTER                       ,FA_TRAN             
FAD-0003-0011023000001   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,     11607.14,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-GRO. CHECK OUT COUNTER                       ,FA_TRAN             
FAD-0003-0011023000002   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,     11607.14,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-GRO. CHECK OUT COUNTER                       ,FA_TRAN             
FAD-0003-0011023000003   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,     11607.14,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000004   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,     11607.14,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000005   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,     11607.14,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000006   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,     11607.14,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000007   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,     11607.14,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000008   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,     11607.14,01/09/2025,OFF. EQPT.          ,SCANNER                                           ,         3,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100001   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,      4017.86,01/09/2025,STR. EQPT.          ,OTHERS                                            ,         5,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100002   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,      4017.86,01/09/2025,STR. EQPT.          ,OTHERS                                            ,         5,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100003   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,      4017.86,01/09/2025,STR. EQPT.          ,OTHERS                                            ,         5,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100004   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,      4017.86,01/09/2025,STR. EQPT.          ,OTHERS                                            ,         5,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100005   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,      4017.86,01/09/2025,STR. EQPT.          ,OTHERS                                            ,         5,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100006   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,      4017.86,01/09/2025,STR. EQPT.          ,OTHERS                                            ,         5,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100007   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,      4017.86,01/09/2025,STR. EQPT.          ,OTHERS                                            ,         5,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100008   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,      4017.86,01/09/2025,STR. EQPT.          ,OTHERS                                            ,         5,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
