barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0004-0010097600003   ,ZYCOO COOFONE H81P(EOL)                                     ,      3225.00,03/03/2026,OFF. EQPT.          ,TELEPHONE                                         ,         3,COLONNADE COLON               ,COLC-ADMIN                                        ,FAACQ               
FAD-0004-0006605400001   ,171424 LENOVO TAB M10 HD ZA4H0083PH                         ,      4461.61,04/06/2026,OFF. EQPT.          ,TABLET                                            ,         3,COLONNADE COLON               ,COLC-BAKESHOP                                     ,FAACQ               
FAD-0004-0011554500003   ,ASUS PRIME H610M-R (P.S) D4 MOTHERBOARD                     ,     30352.68,04/06/2026,OFF. EQPT.          ,OTHERS                                            ,         5,COLONNADE COLON               ,COLC-INFORMATION TECHNOLOGY                       ,FAACQ               
FAD-0004-0000657400005   ,MONITOR ACER                                                ,      3214.29,04/06/2026,OFF. EQPT.          ,MONITOR                                           ,         3,COLONNADE COLON               ,COLC-GROCERY                                      ,FAACQ               
FAD-0004-0003207700005   ,PRINTER EPSON LQ-310                                        ,     14281.25,04/06/2026,OFF. EQPT.          ,PRINTER                                           ,         3,COLONNADE COLON               ,COLC-GROCERY                                      ,FAACQ               
FAD-0004-0011554500004   ,ASUS PRIME H610M-R (P.S) D4 MOTHERBOARD                     ,     30352.68,04/06/2026,OFF. EQPT.          ,OTHERS                                            ,         5,COLONNADE COLON               ,COLC-GROCERY                                      ,FAACQ               
FAD-0004-0008897300002   ,EPSON L5290 WIFI AIO (INK TANK) PRINTER W/ADF               ,     12049.11,04/06/2026,OFF. EQPT.          ,PRINTER                                           ,         3,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             ,FAACQ               
FAD-0004-0012737300001   ,EPSON  003 INK BLACK                                        ,       263.39,04/06/2026,                    ,SUPPLIES                                          ,         0,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             ,FAACQ               
FAD-0004-0012737300002   ,EPSON  003 INK BLACK                                        ,       263.39,04/06/2026,                    ,SUPPLIES                                          ,         0,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             ,FAACQ               
FAD-0004-0012737500001   ,EPSON 003 INK MAGENTA                                       ,       267.86,04/06/2026,                    ,SUPPLIES                                          ,         0,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             ,FAACQ               
