barcode,desc,acost,adate,cat_type,locname,dept,status
0112-0002889400003  ,FUJI WEIGHING SCALE 60KGS                                   ,      2520.00,08/09/2017,WEIGHING SCALE                                    ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FABB                
0112-0007415900001  ,SCHNEIDER CIRCUIT BREAKER 300A 3 PHASE                      ,     17468.04,03/29/2022,CIRCUIT BREAKER                                   ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FAACQ               
0112-0005127600001  ,FINGERPRINT TIME ATTENDANCE TERMINAL 3000TC                 ,      8750.00,04/19/2022,OTHERS                                            ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FAACQ               
0112-0004242300001  ,AKITA WEIGHING SCALE 60KG                                   ,      2480.00,05/29/2022,WEIGHING SCALE                                    ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0004242300002  ,AKITA WEIGHING SCALE 60KG                                   ,      2480.00,05/29/2022,WEIGHING SCALE                                    ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0110-0007658300001  ,PANELBOARD PP MOTOR MAIN:100A3P18KA440VMCCB                 ,     30000.00,07/01/2022,PANEL BOARD                                       ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FA_TRAN             
0110-0007660500001  ,CURRENT TRANSFORMER 500:5  SPLIT TYPE                       ,      4395.30,07/18/2022,TRANSFORMER                                       ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FA_TRAN             
0110-0007660500002  ,CURRENT TRANSFORMER 500:5  SPLIT TYPE                       ,      4395.30,07/18/2022,TRANSFORMER                                       ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FA_TRAN             
0110-0007660500003  ,CURRENT TRANSFORMER 500:5  SPLIT TYPE                       ,      4395.30,07/18/2022,TRANSFORMER                                       ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FA_TRAN             
0110-0007512000001  ,ELECTRIC KWHR METER 3PHASEFORM 9S400VKV2C W/                ,     29440.00,05/13/2022,METER                                             ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-ENGINEERING                        ,FA_TRAN             
0112-0004753300001  ,MITS. FUSO CANTER FE84 CS#:H0C798 PL#:GAS-1172              ,   1428571.43,10/01/2022,VEHICLE                                           ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FAACQ               
0085-0005775900006  ,PANELBOARD SCHNEIDER MCCB BREAKER                           ,      3962.44,10/09/2019,PANEL BOARD                                       ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FA_TRAN             
0112-0003207700003  ,PRINTER EPSON LQ-310                                        ,     15950.00,11/15/2022,PRINTER                                           ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FAACQ               
0112-0000003300001  ,PRESSURE WASHER 1.5HP KAWASAKI                              ,      6696.43,12/01/2022,PRESSURE WASHER                                   ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0000003300002  ,PRESSURE WASHER 1.5HP KAWASAKI                              ,      6696.43,12/01/2022,PRESSURE WASHER                                   ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0000775300001  ,SEDIMENT POST FILTER BB20 HOUSING                           ,      4615.38,01/26/2023,OTHERS                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0000775300002  ,SEDIMENT POST FILTER BB20 HOUSING                           ,      4615.38,01/26/2023,OTHERS                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008273200001  ,UV SET 24 GPM WATER DISINFECTANT                            ,     30769.23,01/26/2023,DISINFECTANT                                      ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0000846500001  ,TESTO 175-T1 TEMPERATURE LOGGER                             ,     13099.11,02/22/2023,OTHERS                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0000846500002  ,TESTO 175-T1 TEMPERATURE LOGGER                             ,     13099.11,02/22/2023,OTHERS                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0007087000001  ,AKITA SCALE 50KLS FLAT                                      ,      2240.00,02/08/2023,WEIGHING SCALE                                    ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0000927300001  ,STEEL CABINET 4 DRAWERS                                     ,      7410.00,03/03/2023,CABINET                                           ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FAACQ               
0112-0000927300002  ,STEEL CABINET 4 DRAWERS                                     ,      7410.00,03/03/2023,CABINET                                           ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FAACQ               
0112-0008581000001  ,TUBE ICE MAKING MACHINE M:PK-20AU                           ,  10600000.00,02/01/2023,ICE MAKER                                         ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FABB                
0112-0008477200001  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200002  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200003  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200004  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200005  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200006  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200007  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200008  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
